Date, Avg.Temp(°F),StateName
2103,39.3,Connecticut
2104,48.7,Connecticut
2105,57.8,Connecticut
2106,69.2,Connecticut
2107,71.1,Connecticut
2108,72.8,Connecticut
2109,65.2,Connecticut
2110,56.8,Connecticut
2111,41.0,Connecticut
2112,37.0,Connecticut
2201,24.2,Connecticut
2202,30.6,Connecticut
2203,38.9,Connecticut
2204,47.5,Connecticut
2205,60.7,Connecticut
2206,66.2,Connecticut
2207,74.1,Connecticut
2208,74.4,Connecticut
2209,63.5,Connecticut
2210,52.3,Connecticut
2211,45.0,Connecticut
2212,33.4,Connecticut
2301,37.1,Connecticut
2001,40.2,Delaware
2002,41.9,Delaware
2003,49.5,Delaware
2004,51.8,Delaware
2005,60.6,Delaware
2006,73.7,Delaware
2007,80.7,Delaware
2008,77.2,Delaware
2009,68.7,Delaware
2010,60.0,Delaware
2011,51.8,Delaware
2012,39.7,Delaware
2101,36.2,Delaware
2102,35.6,Delaware
2103,47.6,Delaware
2104,55.3,Delaware
2105,63.3,Delaware
2106,73.8,Delaware
2107,77.7,Delaware
2108,76.9,Delaware
2109,70.1,Delaware
2110,63.2,Delaware
2111,45.1,Delaware
2112,44.0,Delaware
2201,31.6,Delaware
2202,39.1,Delaware
2203,47.0,Delaware
2204,53.2,Delaware
2205,64.8,Delaware
2206,72.4,Delaware
2207,78.7,Delaware
2208,78.0,Delaware
2209,69.1,Delaware
2210,55.6,Delaware
2211,49.8,Delaware
2212,37.7,Delaware
2301,43.5,Delaware
2001,42.4,District of Columbia
2002,43.8,District of Columbia
2003,53.2,District of Columbia
2004,55.3,District of Columbia
2005,63.8,District of Columbia
2006,77.0,District of Columbia
2007,83.9,District of Columbia
2008,79.6,District of Columbia
2009,70.2,District of Columbia
2010,61.9,District of Columbia
2011,54.3,District of Columbia
2012,41.4,District of Columbia
2101,38.6,District of Columbia
2102,37.8,District of Columbia
2103,51.2,District of Columbia
2104,58.2,District of Columbia
2105,66.1,District of Columbia
2106,76.6,District of Columbia
2107,80.9,District of Columbia
2108,80.9,District of Columbia
2109,73.2,District of Columbia
2110,66.3,District of Columbia
2111,47.9,District of Columbia
2112,47.6,District of Columbia
2201,34.6,District of Columbia
2202,42.6,District of Columbia
2203,50.4,District of Columbia
2204,56.9,District of Columbia
2205,67.8,District of Columbia
2206,76.0,District of Columbia
2207,81.1,District of Columbia
2208,80.4,District of Columbia
2209,72.7,District of Columbia
2210,58.2,District of Columbia
2211,52.6,District of Columbia
2212,40.1,District of Columbia
2301,45.2,District of Columbia
2001,61.8,Florida
2002,63.6,Florida
2003,71.0,Florida
2004,73.1,Florida
2005,75.8,Florida
2006,81.0,Florida
2007,83.0,Florida
2008,83.2,Florida
2009,80.6,Florida
2010,77.2,Florida
2011,70.8,Florida
2012,57.6,Florida
2101,58.7,Florida
2102,63.7,Florida
2103,67.8,Florida
2104,69.9,Florida
2105,76.1,Florida
2106,80.7,Florida
2107,81.9,Florida
2108,82.6,Florida
2109,79.7,Florida
2110,75.3,Florida
2111,63.4,Florida
2112,66.5,Florida
2201,57.6,Florida
2202,63.0,Florida
2203,68.4,Florida
2204,71.8,Florida
2205,77.6,Florida
2206,81.9,Florida
2207,83.0,Florida
2208,82.8,Florida
2209,79.9,Florida
2210,71.8,Florida
2211,69.7,Florida
2212,61.4,Florida
2301,62.1,Florida
2001,51.4,Georgia
2002,51.9,Georgia
2003,63.1,Georgia
2004,63.1,Georgia
2005,69.4,Georgia
2006,76.9,Georgia
2007,81.5,Georgia
2008,80.4,Georgia
2009,74.3,Georgia
2010,68.5,Georgia
2011,60.4,Georgia
2012,46.4,Georgia
2101,47.7,Georgia
2102,49.5,Georgia
2103,59.9,Georgia
2104,62.1,Georgia
2105,69.4,Georgia
2106,77.0,Georgia
2107,79.3,Georgia
2108,80.0,Georgia
2109,73.8,Georgia
2110,67.2,Georgia
2111,52.7,Georgia
2112,56.6,Georgia
2201,45.9,Georgia
2202,52.7,Georgia
2203,59.0,Georgia
2204,63.1,Georgia
2205,73.3,Georgia
2206,80.1,Georgia
2207,81.2,Georgia
2208,79.5,Georgia
